Date,ns_rep,ns_ext
1995-02-01,0.05034968550408682,0.05259635201527844
1995-03-28,0.012793858308319542,0.016763659876305
1995-05-23,-0.0010846960824452338,0.0021593160952816308
1995-07-06,-0.13763800313422342,-0.13585434099929805
1995-08-22,0.02890666122926245,0.03224464227347849
1995-09-26,0.039545174958527676,0.04339456332143396
1995-11-15,0.013172151547637245,0.015694631636638402
1995-12-19,-0.03700150413792353,-0.03141892963931788
1996-01-31,-0.01683334800372365,-0.013136408598985396
1996-03-26,0.014720783563740483,0.018251332980558345
1996-05-21,0.013989555404177312,0.017265126246989303
1996-07-03,-0.012434094857039932,-0.007443940510689841
1996-08-20,0.0019723250031678926,0.0064447777212661185
1996-09-24,-0.07047603628390149,-0.06389034381690942
1996-11-13,-0.003969996862517599,-0.0009131474081830076
1996-12-17,0.0066136732322192495,0.01029843357954469
1997-02-05,0.002718874863094246,0.00751530819260469
1997-03-25,0.038192431067122196,0.04118907116192444
1997-05-20,-0.040916486637512836,-0.03528121280767148
1997-07-02,0.0010994088758949855,0.005098315817007721
1997-08-19,0.007456986995096349,0.011147254468332231
1997-09-30,-0.0005638878983947933,0.0033913263610443702
1997-11-12,-0.02197337026285018,-0.01741343213167694
1997-12-16,0.006515542545728892,0.01018296904286957
1998-02-04,0.017530330974640105,0.020231916357427146
1998-03-31,-0.00027933937734852545,0.0035248006460453308
1998-05-19,-0.010265222376508993,-0.005696175930772543
1998-07-01,-0.01972196306911261,-0.01654615183380286
1998-08-18,0.012903113066538867,0.016253622583340094
1998-09-29,0.028792619781129153,0.03026953602923991
1998-10-15,,-0.11517939467986604
1998-11-17,0.004615377460514666,0.009561218731588036
1998-12-22,-0.0005541041173327328,0.0033184452335268963
1999-02-03,0.008110131391027665,0.011424097171037857
1999-03-30,-0.0116829632529405,-0.008577433883874948
1999-05-18,0.06417535790024638,0.07036928865689207
1999-06-30,-0.05864721034154982,-0.055471649513654325
1999-08-24,0.007214883435256568,0.009345122474906587
1999-10-05,0.030133067195330546,0.03684366730337078
1999-11-16,0.06801782648497612,0.07000130204223665
1999-12-21,0.022231563616541397,0.026230999865030077
2000-02-02,-0.002072087681552355,0.003079441611777455
2000-03-21,0.003467701040851952,0.007690885650272198
2000-05-16,0.038879839546001056,0.04170294953142761
2000-06-28,-0.018529195598831094,-0.015120718334893686
2000-08-22,0.01293189882065011,0.016290535207486585
2000-10-03,0.023469903725871332,0.027839666125008312
2000-11-15,0.006102508621009836,0.009697517722013627
