date,brw_rep,brw_ext
1994-02-04,0.12496583095498158,0.13410729037945934
1994-03-22,-0.030940221128841226,-0.032948934078209334
1994-04-18,,0.09935487342496697
1994-05-17,-0.023715264084776814,-0.027763880111042367
1994-07-06,-0.011790358912070791,-0.010297789964907185
1994-08-16,0.02699257839491692,0.027634197721170997
1994-09-27,-0.03826937481012966,-0.03939313100361889
1994-11-15,0.039540136318195744,0.038521795341953026
1994-12-20,-0.05399269796194236,-0.05735683243274916
1995-02-01,0.020144371176442345,0.02213087977749728
1995-03-28,0.03245513119191823,0.03411111466723239
1995-05-23,-0.03239092518240427,-0.03381737591018236
1995-07-06,-0.09490819587765952,-0.09944578504030716
1995-08-22,0.019827265384713123,0.021461619970796705
1995-09-26,0.027623479907722348,0.02959228535992747
1995-11-15,0.03881770025879764,0.04140840016676903
1995-12-19,-0.029452492863021436,-0.031097565784265504
1996-01-31,-0.04932511762164051,-0.05107792392236378
1996-03-26,-0.007448101533509694,-0.008648680918505534
1996-05-21,0.003839158490401733,0.004553734541606908
1996-07-03,-0.01545687947917253,-0.015481682133351727
1996-08-20,-0.007802227559827202,-0.008640872774545089
1996-09-24,-0.0113373717589489,-0.007690023966447403
1996-11-13,-0.002571660841524602,-0.00225488233728786
1996-12-17,0.014439887560499956,0.015129780028141953
1997-02-05,0.004809677458187053,0.005764237057432694
1997-03-25,0.03489111438529437,0.03616080367899631
1997-05-20,-0.03412111443726594,-0.035468514700499006
1997-07-02,0.004894955128572231,0.005089211168369752
1997-08-19,0.027031853880947036,0.028322034621096955
1997-09-30,-0.0237889699312034,-0.025492477101937375
1997-11-12,0.003172732950446321,0.0036737400773684194
1997-12-16,0.0021420903377437836,0.001995178369489402
1998-02-04,-0.021633716910321975,-0.022668544015713134
1998-03-31,-0.015677529412739376,-0.01604806778098065
1998-05-19,-0.015104113388913888,-0.015909063470731406
1998-07-01,-0.03320693374759136,-0.03435319139478307
1998-08-18,0.007404469928606547,0.007637438508722711
1998-09-29,0.04385800709273915,0.045168004191841006
1998-10-15,,-0.020964140136147523
1998-11-17,-0.021470696934600127,-0.021796900996200224
1998-12-22,-0.014554727443663899,-0.013949921449957674
1999-02-03,0.038534062451431615,0.04064305166507334
1999-03-30,-0.021487780104810547,-0.023654598356306764
1999-05-18,0.05421181995344339,0.05609469896494338
1999-06-30,-0.0582462760077815,-0.05971417743303055
1999-08-24,-0.02343849480459849,-0.024103949196950913
1999-10-05,0.016183422996414502,0.01739882447536555
1999-11-16,0.003715698673186463,0.0036842024570981516
1999-12-21,-0.0066186109179428194,-0.0066412819316112245
2000-02-02,0.09752837817960033,0.1030940647955223
2000-03-21,0.0006243023297080298,0.0003148972157886183
2000-05-16,0.034764257197834866,0.035792713101286344
2000-06-28,-0.02772060228177848,-0.02856493537079661
2000-08-22,-0.02753039355984729,-0.029609276124626032
2000-10-03,0.009269781001905725,0.00953618038102953
2000-11-15,0.011421894179556132,0.011343134600813574
2000-12-19,-0.004125890540364969,-0.004212002399832572
2001-01-03,,0.0506129314837502
2001-01-31,-0.03798053455938264,-0.040537149607668486
2001-03-20,-0.03540179657878731,-0.03651010471016124
2001-04-18,,-0.1613716296424927
2001-05-15,-0.019799183738902416,-0.019904718883458957
2001-06-27,0.10107510463983828,0.10486684527577092
2001-08-21,-0.026470147274861248,-0.02800408530164126
2001-09-17,,-0.03301729957732531
2001-10-02,0.0035917178249942464,0.004402367306434549
2001-11-06,-0.053753795017576975,-0.0563543543222229
2001-12-11,-0.04337486602741403,-0.044188116469392635
2002-01-30,0.005187418170669179,0.005700873441982471
2002-03-19,-0.016880897281754993,-0.017246182996592647
2002-05-07,-0.039503448222144646,-0.04062284233149539
2002-06-26,-0.08882355151750806,-0.09484590663033295
2002-08-13,-0.021306145177417753,-0.022901588136800658
2002-09-24,0.018285261107274478,0.019471830935335742
2002-11-06,-0.004334768358879986,-0.008231036500077803
2002-12-10,0.036914739359209615,0.03893891118133476
